,sales_agent,product,account,deal_stage,close_value,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,time_until_close,manager,regional_office
0,Moses Frase,GTX Plus Basic,Cancity,Won,1054.0,retail,2001.0,718.62,2448.0,United States,0,GTX,1096,132.0,Dustin Brinkmann,Central
1,Darcel Schlecht,GTX Pro,Isdom,Won,4514.0,medical,2002.0,3178.24,4540.0,United States,0,GTX,4821,137.0,Melvin Marxen,Central
2,Darcel Schlecht,MG Special,Cancity,Won,50.0,retail,2001.0,718.62,2448.0,United States,0,MG,55,133.0,Melvin Marxen,Central
3,Moses Frase,GTX Basic,Codehow,Won,588.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,550,135.0,Dustin Brinkmann,Central
4,Zane Levy,GTX Basic,Hatfan,Won,517.0,services,1982.0,792.46,1299.0,United States,0,GTX,550,128.0,Summer Sewald,West
5,Anna Snelling,MG Special,Ron-tech,Won,49.0,medical,1992.0,3922.42,6837.0,United States,0,MG,55,123.0,Dustin Brinkmann,Central
6,Vicki Laflamme,MG Special,J-Texon,Won,57.0,retail,1989.0,1388.67,3583.0,United States,0,MG,55,123.0,Celia Rouche,West
7,Markita Hansen,GTX Basic,Cheers,Won,601.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550,126.0,Celia Rouche,West
8,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,1026.0,medical,1984.0,441.08,1210.0,United States,0,GTX,1096,122.0,Melvin Marxen,Central
9,James Ascencio,MG Advanced,0,Engaging,0.0,0,0.0,0.0,0.0,0,0,MG,3393,0.0,Summer Sewald,West
10,Anna Snelling,MG Special,Bioholding,Won,53.0,medical,2012.0,587.34,1356.0,Philipines,0,MG,55,126.0,Dustin Brinkmann,Central
11,Gladys Colclough,GTX Pro,Genco Pura Olive Oil Company,Lost,0.0,retail,2007.0,894.33,1635.0,Italy,0,GTX,4821,134.0,Melvin Marxen,Central
12,James Ascencio,GTX Plus Pro,Sunnamplex,Won,5169.0,marketing,2008.0,894.37,1593.0,Poland,0,GTX,5482,126.0,Summer Sewald,West
13,Maureen Marcano,GTX Plus Pro,Sonron,Won,4631.0,telecommunications,1999.0,1699.85,5108.0,United States,0,GTX,5482,122.0,Summer Sewald,West
14,Hayden Neloms,MG Advanced,Finjob,Won,3393.0,employment,1988.0,2059.9,3644.0,United States,0,MG,3393,126.0,Celia Rouche,West
15,Rosalina Dieter,MG Special,Sonron,Lost,0.0,telecommunications,1999.0,1699.85,5108.0,United States,0,MG,55,118.0,Celia Rouche,West
16,Rosalina Dieter,MG Advanced,Scotfind,Won,3284.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,MG,3393,121.0,Celia Rouche,West
17,Versie Hillebrand,MG Special,Treequote,Won,61.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,MG,55,119.0,Dustin Brinkmann,Central
18,Daniell Hammack,GTX Pro,Xx-zobam,Lost,0.0,entertainment,1989.0,3838.39,8274.0,United States,0,GTX,4821,122.0,Rocco Neubert,East
19,Elease Gluck,MG Special,Rantouch,Won,46.0,telecommunications,1994.0,1188.42,3015.0,United States,0,MG,55,121.0,Celia Rouche,West
20,James Ascencio,GTX Plus Pro,Fasehatice,Lost,0.0,retail,1990.0,4968.91,7523.0,United States,0,GTX,5482,130.0,Summer Sewald,West
21,Moses Frase,MG Special,Ron-tech,Won,50.0,medical,1992.0,3922.42,6837.0,United States,0,MG,55,131.0,Dustin Brinkmann,Central
22,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,1014.0,finance,1993.0,646.1,883.0,United States,Golddex,GTX,1096,124.0,Cara Losch,East
23,Darcel Schlecht,GTX Basic,Warephase,Won,561.0,services,1997.0,2041.73,5276.0,United States,0,GTX,550,138.0,Melvin Marxen,Central
24,Kami Bicknell,GTX Basic,Zoomit,Won,590.0,entertainment,1992.0,324.19,978.0,United States,0,GTX,550,133.0,Summer Sewald,West
25,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,0.0,retail,1995.0,5158.71,17479.0,Japan,0,MG,3393,0.0,Summer Sewald,West
26,Versie Hillebrand,MG Special,Bioholding,Won,61.0,medical,2012.0,587.34,1356.0,Philipines,0,MG,55,122.0,Dustin Brinkmann,Central
